Token				Lemma 			Part-of-speech				Chunk
				  - 			SENT_START 
политі				политий 		adjp:pasv:past:p:v_naz 
							 
гофри				- 			- 
-				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru 
холодильника			холодильник 		noun:m:v_rod 
,				- 			- 
навіть				навіть 			part 
не				не 			part 
кімнатної			кімнатний 		adj:f:v_rod 
t				- 			- 
,				- 			- 
виходить			виходить 		insert  
							
,				- 			- 
що				що 			conj:subord 
							
все				все 			adj:n:v_naz:&pron:dem 
							
							
холодне				холодний 		adj:n:v_naz:compb 
							 
...				- 			SENT_END 
				- 			SENT_START 
Лате				лате 			noun:m:v_naz:nv:np 
							
							
їх				вони 			noun:p:v_rod:&pron:pers:3
							
теж				теж 			adv 
							 
було				бути 			verb:past:n:imperf 
не				не			part 
гарячим				гарячий 		adj:m:v_oru:compb 
						
.				- 			SENT_END 
							PARA_END 
				- 			SENT_START 
Були				бути 			verb:past:p:imperf 
і				і 			conj:coord 
							
ми				ми 			noun:p:v_naz:anim:&pron:pers:1
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
Сові				сова 			noun:f:v_mis:anim 
							
.				- 			SENT_END 
				- 			SENT_START 
По-перше			по-перше 		insert  
							
,				- 			- 
на				на 			prep:rv_zna:rv_mis  
							
мій				мій 			adj:m:v_zna:&pron:pos
							
смак				смак 			noun:m:v_zna 
							
там				там 			adv:&pron:dem 
							
дуже				дуже 			adv 
							
все				все 			adj:n:v_naz:&pron:dem
							
							
смачне				смачний 		adj:n:v_naz:compb 
							
!				- 			SENT_END 
				- 			SENT_START 
Меню				меню			noun:n:v_naz:nv 
							
														
гофр				гофр 			noun:m:v_zna 
							
дуууже				- 			- 
сподобалось			сподобатися 		verb:rev:past:n:perf 
.				- 			SENT_END 
				- 			SENT_START 
Обширне				обширний 		adj:n:v_naz:bad 
							 
,				- 			- 
багато				багато 			adv 
							
різних				різний 			adj:p:v_rod  
							
							
начинок				начинка 		noun:p:v_rod 
.				- 			SENT_END 
				- 			SENT_START 
Є				бути 			verb:pres:s:2:imperf 
							
							
і				і 			conj:coord 
							
ситні				ситний 			adj:p:v_naz:compb 
							
,				- 			- 
і				і 			conj:coord 
							 
більш				багато 			adv:compr 
дієтичні			дієтичний 		adj:p:v_naz 
							
.				- 			SENT_END 
				- 			SENT_START 
Замовляли			замовляти 		verb:past:p:imperf 
з				з 			prep:rv_rod:rv_zna:rv_oru
лососем				лосось 			noun:m:v_oru:anim 
,				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru
овочами				овоч 			noun:p:v_oru 
і				і 			conj:coord 
							
з				з 			prep:rv_rod:rv_zna:rv_oru
такою				такий 			adj:f:v_oru:&pron:def 
начинкою			начинка 		noun:f:v_oru 
як				як 			adv:&pron:int:rel 
							 
для				для 			prep:rv_rod 
штруделя			-			- 
.				- 			SENT_END
				- 			SENT_START 
Всі				весь 			adj:p:v_naz:&pron:dem
							
смачні				смачний 		adj:p:v_naz:compb 
							
.				- 			SENT_END  
				- 			SENT_START 
Ціни				ціна			noun:p:v_naz  
							
							 
на				на 			prep:rv_zna:rv_mis 
							
							
салати				салат 			noun:p:v_zna 
							
							
досить				досить 			adv 
							
помірні				помірний 		adj:p:v_naz 
							
,				- 			- 
порції				порція 			noun:p:v_naz 
							
							
великі				великий 		adj:p:v_naz:compb 
							
,				- 			- 
заправки			заправка 		noun:p:v_naz 
							
							 
смачні				смачний 		adj:p:v_naz:compb 
							
.				- 			SENT_END 
				- 			SENT_START 
Кава				кава 			noun:f:v_naz 
,				- 			- 
чай-				- 			- 
звичайні			звичайний 		adj:p:v_naz:compb 
							
,				- 			- 
без				без 			prep:rv_rod 
екстазу				екстаз 			noun:m:v_rod  
							
.				- 			SENT_END 
				- 			SENT_START 
Дуже				дуже 			adv 
							
сподобався			сподобатися 		verb:rev:past:m:perf 
винний				винний 			adj:m:v_naz 
							 
коктель				- 			- 
.				- 			SENT_END 
				- 			SENT_START 
А				а 			conj:coord 
							
тепер				тепер 			adv:&pron:dem 
те				той 			adj:n:v_naz:&pron:dem 
							
,				- 			- 
що				що 			conj:subord 
							
по-друге			по-друге 		insert  
							
.				- 			SENT_END 
				- 			SENT_START 
Їм				їсти 			verb:pres:s:1:imperf 
							
я				я 			noun:s:v_naz:anim:&pron:pers:1
свій				свій 			adj:m:v_zna:&pron:pos  
							
салат				салат 			noun:m:v_zna 
							
,				- 			- 
навіть				навіть 			part 
насолоджуюсь			насолоджуватися		verb:rev:pres:s:1:imperf 
ним				він 			noun:m:v_oru:&pron:pers:3 
							 
.				- 			SENT_END 
 
							SENT_START 
І				і 			conj:coord 
							 
тут				тут 			adv:&pron:dem 
,				- 			- 
беру				брати			verb:pres:s:1:imperf  
							
я				я 			noun:s:v_naz:anim:&pron:pers:1
шматочок			шматочок 		noun:m:v_zna 
							
риби				риба 			noun:p:v_zna:anim 
							
і				і 			conj:coord 
							 
бачу				бачити 			verb:pres:s:1:imperf 
ЙОГО				він			adj:m:v_zna:nv:&pron:pos   
														
...				- 			- 
хробака				хробак 			noun:m:v_zna:anim  
							
.				- 			SENT_END 
- 
							SENT_START 
Повзе				повзти 			verb:pres:s:3:imperf 
собі				себе 			noun:m:v_dav:&pron:refl 
							
по				по 			prep:rv_mis:rv_zna 
мої				мій 			adj:p:v_naz:&pron:pos (v_mis)
							adj:p:v_zna:&pron:pos 
тарілці				тарілка 		noun:f:v_mis 
							
від				від 			prep:rv_rod 
одного				один 			numr:m:v_rod 
							
шматка				шматок 			noun:m:v_rod 
до				до 			prep:rv_rod 
іншого				інший 			adj:m:v_rod:&pron:def 
							
і				і 			conj:coord 
							 
не				не 			part 
здогадується			здогадуватися 		verb:rev:pres:s:3:imperf 
якого				який 			adj:m:v_rod:&pron:int:rel:def 
шоку				шок 			noun:m:v_rod 
							
мені				я 			noun:s:v_dav:anim:&pron:pers:1
							
завдав				завдати 		verb:past:m:perf 
.				- 			SENT_END 
				- 			SENT_START 
В				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
мене				я 			noun:s:v_rod:anim:&pron:pers:1
							
таке				такий 			adj:n:v_naz:&pron:def 
							
вперше				вперше 			adv:v-u 
,				- 			- 
чесно				чесно 			adv:compb 
кажучи				казати 			advp:imperf 
.				- 			SENT_END 
				- 			SENT_START 
Я				я 			noun:s:v_naz:anim:&pron:pers:1 
навіть				навіть 			part 
не				не 			part 
знала				знати 			verb:past:f:imperf 
що				що 			conj:subord 
							
робити				робити 			verb:inf:imperf 
)				- 			- 
Покликала			покликати 		verb:past:f:perf  
							
офіціантку			офіціантка 		noun:f:v_zna:anim 
,				- 			- 
показала			показати 		verb:past:f:perf 
.				- 			SENT_END 
				-			 SENT_START 
І				і 			conj:coord 
							
її				вона			adj:f:v_rod:nv:&pron:pos  
							
							
реакція				реакція 		noun:f:v_naz 
мене				я 			noun:s:v_zna:anim:&pron:pers:1
							
не				не 			part 
реанімувала			реанімувати 		verb:past:f:perf  
							
,				- 			- 
а				а 			conj:coord 
							 
навпаки				навпаки 		insert 
							
							
ще				ще 			adv 
							
більше				багато 			adv:compr 
						
в				в 			prep:rv_zna:rv_mis:rv_rod:v-u 
ступо				- 			- 
Але				але 			conj:coord 
							 
риби				риба 			noun:f:v_rod:anim 
							
було				бути 			verb:past:n:imperf 
досить				досить 			predic  
							
,				- 			- 
без				без 			prep:rv_rod 
кісточок			кісточка 		noun:p:v_rod 
,				- 			- 
смачна				смачний                 adj:f:v_naz:compb 
.				- 			SENT_END 
				- 			SENT_START 
От				от 			part 
зараз				зараз 			adv:&pron:dem 
				зараза			noun:p:v_rod 
пишу				писати 			verb:pres:s:1:imperf 
і				і 			conj:coord 
							
думаю				думати 			verb:pres:s:1:imperf 
,				- 			- 
що				що 			conj:subord 
							
зараз				зараз 			adv:&pron:dem 

би				би 			part 
таке				такий 			adj:n:v_naz:&pron:def 
							
з*їла				- 			- 
)				- 			- 
Єдине				єдиний 			adj:n:v_naz 
							
,				- 			- 
що				що 			conj:subord 
							
мені				я 			noun:s:v_dav:anim:&pron:pers:1 
							
не				не			part 
сподобалось			сподобатися 		verb:rev:past:n:perf 
,				- 			- 
що				що 			conj:subord 
							
всі				весь 			adj:p:v_naz:&pron:dem 
							
соуси				соус 			noun:p:v_naz 
							
,				- 			- 
якими				який 			adj:p:v_oru:&pron:int:rel:def 
политі				политий 		adjp:pasv:past:p:v_naz 
							 
гофри				- 			- 
-				- 			- 
з				з 			prep:rv_rod:rv_zna:rv_oru 
холодильника			холодильник 		noun:m:v_rod 
,				- 			- 
навіть				навіть 			part 
не				не 			part 
кімнатної			кімнатний 		adj:f:v_rod 
t				- 			- 
,				- 			- 
виходить			виходить 		insert 
				виходити		verb:pres:s:3:imperf 
,				- 			- 
що				що 			conj:subord 
							
все				все 			adj:n:v_naz:&pron:dem 
							
							
холодне				холодний 		adj:n:v_naz:compb 
							 
...				- 			SENT_END 
				- 			SENT_START 
Лате				лате 			noun:m:v_naz:nv:np 
							
							 
їх				вони 			noun:p:v_rod:&pron:pers:3
							
теж				теж 			adv 
							 
було				бути 			verb:past:n:imperf 
не				не 			part 
гарячим				гарячий 		adj:m:v_oru:compb 
							
.				- 			SENT_END 
							PARA_END 







